1sup,,,,,,,,,,,,,
,,start,end,,,,,,,,,,
,1,14:45:10,14:49:54,,,,,,,,,,
,2,,14:51:51,,,,,,,,,,
,3,,14:56:42,,,,,,,,,,
,4,,15:00:30,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Type 3,,15:04:00:296,15:19:39:660,,,,,,,,,,
,1,15:04:00,15:08:52,,,,,,,,,,
,2,,15:12:18,,,,,,,,,,
,3,,15:18:45,,,,,,,,,,
,4,,15:19:39,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
25,25lik,,,,,,,,,,,,
,,,,,,,,,,,,,
,,start,end,,,,,,,,,,
Type 1,,16:01:41:713,16:12:59:562,,,,,,,,,,
,1,16:01:41,16:04:03,,,,,,,,,,
,2,,16:06:04,,0:11:18,0:15:00,0:13:37,,,,,,
,3,,16:07:35,,,,,,,,,,
,4,,16:12:59,,,,,,,,,,
,,,,,,,,,,,,,
Type 2,,16:13:37:935,16:28:37:361,,,,,,,,,,
,1,16:13:37,16:17:30,,,,,,,,,,
,2,,16:19:57,,,,,,,,,,
,3,,16:23:12,,,,,,,,,,
,4,,16:28:37,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Type 3,,16:29:11:387,16:42:48:425,,,,,,,,,,
,1,16:29:11,16:32:00,,,,,,,,,,
,2,,16:36:35,,,,,,,,,,
,3,,16:39:38,,,,,,,,,,
,4,,16:42:48,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
26,26Rac,,,,,,,,,,,,
,,,,,,,,,,,,,
,,start,end,,,,,,,,,,
Type 1,,09:49:13:387,10:04:06:876,,,,,,,,,,
,1,9:49:13,9:54:00,,0:14:53,0:15:00,0:15:27,,,,,,
,2,,9:57:54,,,,,,,,,,
,3,,10:01:03,,,,,,,,,,
,4,,10:04:06,,,,,,,,,,
,,,,,,,,,,,,,
Type 2,,10:05:00:707,10:20:06:469,,,,,,,,,,
,1,10:05:00,10:08:25,,,,,,,,,,
,2,,10:11:21,,,,,,,,,,
,3,,10:15:57,,,,,,,,,,
,4,,10:20:00,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Type 3,,10:20:37:240,10:36:04:532,,,,,,,,,,
,1,10:20:37,10:24:29,,,,,,,,,,
,2,,10:30:46,,,,,,,,,,
,3,,10:32:31,,,,,,,,,,
,4,,10:36:04,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
27,27Kar,,,,,,,,,,,,
,,,,,,,,,,,,,
,,start,end,,,,,,,,,,
Type 1,,10:49:11:348,11:05:00:817,,,,,,,,,,
,1,10:49:11,10:55:19,,,,,,,,,,
,2,,10:57:34,,0:15:49,0:15:26,0:14:15,,,,,,
,3,,11:01:08,,,,,,,,,,
,4,,11:05:00,,,,,,,,,,
,,,,,,,,,,,,,
Type 2,,11:09:24:491,11:24:50:512,,,,,,,,,,
,1,11:09:24,11:13:53,,,,,,,,,,
,2,,11:15:53,,,,,,,,,,
,3,,11:20:33,,,,,,,,,,
,4,,11:24:50,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Type 3,,11:25:11:195,11:39:26:165,,,,,,,,,,
,1,11:25:11,11:30:05,,,,,,,,,,
,2,,11:31:59,,,,,,,,,,
,3,,11:37:20,,,,,,,,,,
,4,,11:39:26,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
28,28pra,,,,,,,,,,,,
,,,,,,,,,,,,,
,,start,end,,,,,,,,,,
Type 1,,11:57:30:727,12:05:38:816,,,,,,,,,,
,1,11:57:30,11:59:31,,,,,,,,,,
